"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1725","Check displaying of dashboard page","LMS system","Sun Apr 27 18:08:14 GMT 2025","passed","Sun Apr 27 18:08:15 GMT 2025","Dashboard","Dashboard","",""
"","2040","Check displaying of dashboard page","LMS system","Sun Apr 27 18:08:17 GMT 2025","passed","Sun Apr 27 18:08:19 GMT 2025","Dashboard","Dashboard","",""
"","1967","Check displaying of dashboard page","LMS system","Sun Apr 27 18:08:18 GMT 2025","passed","Sun Apr 27 18:08:20 GMT 2025","Dashboard","Dashboard","",""
"","3211","User login with correct email and password","LMS system","Sun Apr 27 18:07:39 GMT 2025","passed","Sun Apr 27 18:07:42 GMT 2025","Authorization","Authentication","",""
"","1620","Registration with correct email, username and password","LMS system","Sun Apr 27 18:07:50 GMT 2025","passed","Sun Apr 27 18:07:51 GMT 2025","Registration","Authentication","",""
"","1419","User login with wrong email or password","LMS system","Sun Apr 27 18:07:29 GMT 2025","passed","Sun Apr 27 18:07:30 GMT 2025","Authorization","Authentication","",""
"","4208","Edit course","LMS system","Sun Apr 27 18:08:07 GMT 2025","passed","Sun Apr 27 18:08:11 GMT 2025","Courses","Courses","",""
"","1925","Registration with correct email, username and password","LMS system","Sun Apr 27 18:07:52 GMT 2025","passed","Sun Apr 27 18:07:54 GMT 2025","Registration","Authentication","",""
"","3158","User login with correct email and password","LMS system","Sun Apr 27 18:07:26 GMT 2025","passed","Sun Apr 27 18:07:30 GMT 2025","Authorization","Authentication","",""
"","2667","Create course","LMS system","Sun Apr 27 18:08:03 GMT 2025","passed","Sun Apr 27 18:08:05 GMT 2025","Courses","Courses","",""
"","6752","User login with correct email and password","LMS system","Sun Apr 27 18:07:31 GMT 2025","passed","Sun Apr 27 18:07:37 GMT 2025","Authorization","Authentication","",""
"","1681","User login with wrong email or password","LMS system","Sun Apr 27 18:07:37 GMT 2025","passed","Sun Apr 27 18:07:39 GMT 2025","Authorization","Authentication","",""
"","3115","Edit course","LMS system","Sun Apr 27 18:08:02 GMT 2025","passed","Sun Apr 27 18:08:05 GMT 2025","Courses","Courses","",""
"","1609","Check displaying of empty courses list","LMS system","Sun Apr 27 18:08:15 GMT 2025","passed","Sun Apr 27 18:08:16 GMT 2025","Courses","Courses","",""
"","1267","User login with wrong email or password","LMS system","Sun Apr 27 18:07:30 GMT 2025","passed","Sun Apr 27 18:07:32 GMT 2025","Authorization","Authentication","",""
"","1526","User login with wrong email or password","LMS system","Sun Apr 27 18:07:35 GMT 2025","passed","Sun Apr 27 18:07:36 GMT 2025","Authorization","Authentication","",""
"","1708","User login with wrong email or password","LMS system","Sun Apr 27 18:07:32 GMT 2025","passed","Sun Apr 27 18:07:34 GMT 2025","Authorization","Authentication","",""
"","1526","User login with wrong email or password","LMS system","Sun Apr 27 18:07:26 GMT 2025","passed","Sun Apr 27 18:07:28 GMT 2025","Authorization","Authentication","",""
"","1626","Navigation from login page to registration page","LMS system","Sun Apr 27 18:07:47 GMT 2025","passed","Sun Apr 27 18:07:49 GMT 2025","Authorization","Authentication","",""
"","1930","Registration with correct email, username and password","LMS system","Sun Apr 27 18:07:51 GMT 2025","passed","Sun Apr 27 18:07:53 GMT 2025","Registration","Authentication","",""
"","1635","User login with wrong email or password","LMS system","Sun Apr 27 18:07:44 GMT 2025","passed","Sun Apr 27 18:07:45 GMT 2025","Authorization","Authentication","",""
"","1666","User login with wrong email or password","LMS system","Sun Apr 27 18:07:40 GMT 2025","passed","Sun Apr 27 18:07:42 GMT 2025","Authorization","Authentication","",""
"","1209","Navigation from login page to registration page","LMS system","Sun Apr 27 18:07:47 GMT 2025","passed","Sun Apr 27 18:07:48 GMT 2025","Authorization","Authentication","",""
"","4102","Edit course","LMS system","Sun Apr 27 18:08:07 GMT 2025","passed","Sun Apr 27 18:08:11 GMT 2025","Courses","Courses","",""
"","2272","Create course","LMS system","Sun Apr 27 18:07:56 GMT 2025","passed","Sun Apr 27 18:07:59 GMT 2025","Courses","Courses","",""
"","1130","Check displaying of empty courses list","LMS system","Sun Apr 27 18:08:12 GMT 2025","passed","Sun Apr 27 18:08:13 GMT 2025","Courses","Courses","",""
"","1318","Navigation from login page to registration page","LMS system","Sun Apr 27 18:07:49 GMT 2025","passed","Sun Apr 27 18:07:50 GMT 2025","Authorization","Authentication","",""
"","1655","User login with wrong email or password","LMS system","Sun Apr 27 18:07:44 GMT 2025","passed","Sun Apr 27 18:07:46 GMT 2025","Authorization","Authentication","",""
"","2911","Create course","LMS system","Sun Apr 27 18:07:57 GMT 2025","passed","Sun Apr 27 18:08:00 GMT 2025","Courses","Courses","",""
"","1238","Check displaying of empty courses list","LMS system","Sun Apr 27 18:08:12 GMT 2025","passed","Sun Apr 27 18:08:13 GMT 2025","Courses","Courses","",""
